prompt_id,report_id,report_text
A,1,"In 2015, Light Trucks contributed 51.8% of PM10 emissions in White County, IL. Cars/Bikes accounted for 36.1% of total PM10 emissions. The remaining vehicle categories (Combo Trucks, Heavy Trucks, and Buses) accounted for 12.1% collectively. Policy interventions targeting Light Trucks and Cars/Bikes would be most effective, as these categories represent 87.9% of total emissions. Recommendations include implementing stricter emission standards and promoting electric vehicle adoption."
A,2,"Analysis of 2015 PM10 emissions data for White County, IL reveals that Light Trucks represent the primary emission source at 51.8%. Secondary contributors include Cars/Bikes at 36.1%. Combined, these two categories account for 87.9% of total emissions. The remaining vehicle types contribute minimally. Strategic policy focus on Light Trucks and Cars/Bikes would yield the greatest emission reduction potential."
A,3,"White County, IL experienced significant PM10 emissions from transportation sources in 2015. Light Trucks represented 51.8% of total emissions, followed by Cars/Bikes at 36.1%. These two categories collectively represent 87.9% of emissions. Remaining vehicle types account for 12.1%. Targeted interventions for Light Trucks and Cars/Bikes are recommended to achieve meaningful emission reductions."
A,4,"In 2015, Light Trucks contributed 51.8% of PM10 emissions in White County, IL. Cars/Bikes accounted for 36.1% of total PM10 emissions. The remaining vehicle categories (Combo Trucks, Heavy Trucks, and Buses) accounted for 12.1% collectively. Policy interventions targeting Light Trucks and Cars/Bikes would be most effective, as these categories represent 87.9% of total emissions. Recommendations include implementing stricter emission standards and promoting electric vehicle adoption."
A,5,"Analysis of 2015 PM10 emissions data for White County, IL reveals that Light Trucks represent the primary emission source at 51.8%. Secondary contributors include Cars/Bikes at 36.1%. Combined, these two categories account for 87.9% of total emissions. The remaining vehicle types contribute minimally. Strategic policy focus on Light Trucks and Cars/Bikes would yield the greatest emission reduction potential."
A,6,"White County, IL experienced significant PM10 emissions from transportation sources in 2015. Light Trucks represented 51.8% of total emissions, followed by Cars/Bikes at 36.1%. These two categories collectively represent 87.9% of emissions. Remaining vehicle types account for 12.1%. Targeted interventions for Light Trucks and Cars/Bikes are recommended to achieve meaningful emission reductions."
A,7,"In 2015, Light Trucks contributed 51.8% of PM10 emissions in White County, IL. Cars/Bikes accounted for 36.1% of total PM10 emissions. The remaining vehicle categories (Combo Trucks, Heavy Trucks, and Buses) accounted for 12.1% collectively. Policy interventions targeting Light Trucks and Cars/Bikes would be most effective, as these categories represent 87.9% of total emissions. Recommendations include implementing stricter emission standards and promoting electric vehicle adoption."
A,8,"Analysis of 2015 PM10 emissions data for White County, IL reveals that Light Trucks represent the primary emission source at 51.8%. Secondary contributors include Cars/Bikes at 36.1%. Combined, these two categories account for 87.9% of total emissions. The remaining vehicle types contribute minimally. Strategic policy focus on Light Trucks and Cars/Bikes would yield the greatest emission reduction potential."
A,9,"White County, IL experienced significant PM10 emissions from transportation sources in 2015. Light Trucks represented 51.8% of total emissions, followed by Cars/Bikes at 36.1%. These two categories collectively represent 87.9% of emissions. Remaining vehicle types account for 12.1%. Targeted interventions for Light Trucks and Cars/Bikes are recommended to achieve meaningful emission reductions."
A,10,"In 2015, Light Trucks contributed 51.8% of PM10 emissions in White County, IL. Cars/Bikes accounted for 36.1% of total PM10 emissions. The remaining vehicle categories (Combo Trucks, Heavy Trucks, and Buses) accounted for 12.1% collectively. Policy interventions targeting Light Trucks and Cars/Bikes would be most effective, as these categories represent 87.9% of total emissions. Recommendations include implementing stricter emission standards and promoting electric vehicle adoption."
A,11,"Analysis of 2015 PM10 emissions data for White County, IL reveals that Light Trucks represent the primary emission source at 51.8%. Secondary contributors include Cars/Bikes at 36.1%. Combined, these two categories account for 87.9% of total emissions. The remaining vehicle types contribute minimally. Strategic policy focus on Light Trucks and Cars/Bikes would yield the greatest emission reduction potential."
A,12,"White County, IL experienced significant PM10 emissions from transportation sources in 2015. Light Trucks represented 51.8% of total emissions, followed by Cars/Bikes at 36.1%. These two categories collectively represent 87.9% of emissions. Remaining vehicle types account for 12.1%. Targeted interventions for Light Trucks and Cars/Bikes are recommended to achieve meaningful emission reductions."
A,13,"In 2015, Light Trucks contributed 51.8% of PM10 emissions in White County, IL. Cars/Bikes accounted for 36.1% of total PM10 emissions. The remaining vehicle categories (Combo Trucks, Heavy Trucks, and Buses) accounted for 12.1% collectively. Policy interventions targeting Light Trucks and Cars/Bikes would be most effective, as these categories represent 87.9% of total emissions. Recommendations include implementing stricter emission standards and promoting electric vehicle adoption."
A,14,"Analysis of 2015 PM10 emissions data for White County, IL reveals that Light Trucks represent the primary emission source at 51.8%. Secondary contributors include Cars/Bikes at 36.1%. Combined, these two categories account for 87.9% of total emissions. The remaining vehicle types contribute minimally. Strategic policy focus on Light Trucks and Cars/Bikes would yield the greatest emission reduction potential."
A,15,"White County, IL experienced significant PM10 emissions from transportation sources in 2015. Light Trucks represented 51.8% of total emissions, followed by Cars/Bikes at 36.1%. These two categories collectively represent 87.9% of emissions. Remaining vehicle types account for 12.1%. Targeted interventions for Light Trucks and Cars/Bikes are recommended to achieve meaningful emission reductions."
A,16,"In 2015, Light Trucks contributed 51.8% of PM10 emissions in White County, IL. Cars/Bikes accounted for 36.1% of total PM10 emissions. The remaining vehicle categories (Combo Trucks, Heavy Trucks, and Buses) accounted for 12.1% collectively. Policy interventions targeting Light Trucks and Cars/Bikes would be most effective, as these categories represent 87.9% of total emissions. Recommendations include implementing stricter emission standards and promoting electric vehicle adoption."
A,17,"Analysis of 2015 PM10 emissions data for White County, IL reveals that Light Trucks represent the primary emission source at 51.8%. Secondary contributors include Cars/Bikes at 36.1%. Combined, these two categories account for 87.9% of total emissions. The remaining vehicle types contribute minimally. Strategic policy focus on Light Trucks and Cars/Bikes would yield the greatest emission reduction potential."
A,18,"White County, IL experienced significant PM10 emissions from transportation sources in 2015. Light Trucks represented 51.8% of total emissions, followed by Cars/Bikes at 36.1%. These two categories collectively represent 87.9% of emissions. Remaining vehicle types account for 12.1%. Targeted interventions for Light Trucks and Cars/Bikes are recommended to achieve meaningful emission reductions."
A,19,"In 2015, Light Trucks contributed 51.8% of PM10 emissions in White County, IL. Cars/Bikes accounted for 36.1% of total PM10 emissions. The remaining vehicle categories (Combo Trucks, Heavy Trucks, and Buses) accounted for 12.1% collectively. Policy interventions targeting Light Trucks and Cars/Bikes would be most effective, as these categories represent 87.9% of total emissions. Recommendations include implementing stricter emission standards and promoting electric vehicle adoption."
A,20,"Analysis of 2015 PM10 emissions data for White County, IL reveals that Light Trucks represent the primary emission source at 51.8%. Secondary contributors include Cars/Bikes at 36.1%. Combined, these two categories account for 87.9% of total emissions. The remaining vehicle types contribute minimally. Strategic policy focus on Light Trucks and Cars/Bikes would yield the greatest emission reduction potential."
A,21,"White County, IL experienced significant PM10 emissions from transportation sources in 2015. Light Trucks represented 51.8% of total emissions, followed by Cars/Bikes at 36.1%. These two categories collectively represent 87.9% of emissions. Remaining vehicle types account for 12.1%. Targeted interventions for Light Trucks and Cars/Bikes are recommended to achieve meaningful emission reductions."
A,22,"In 2015, Light Trucks contributed 51.8% of PM10 emissions in White County, IL. Cars/Bikes accounted for 36.1% of total PM10 emissions. The remaining vehicle categories (Combo Trucks, Heavy Trucks, and Buses) accounted for 12.1% collectively. Policy interventions targeting Light Trucks and Cars/Bikes would be most effective, as these categories represent 87.9% of total emissions. Recommendations include implementing stricter emission standards and promoting electric vehicle adoption."
A,23,"Analysis of 2015 PM10 emissions data for White County, IL reveals that Light Trucks represent the primary emission source at 51.8%. Secondary contributors include Cars/Bikes at 36.1%. Combined, these two categories account for 87.9% of total emissions. The remaining vehicle types contribute minimally. Strategic policy focus on Light Trucks and Cars/Bikes would yield the greatest emission reduction potential."
A,24,"White County, IL experienced significant PM10 emissions from transportation sources in 2015. Light Trucks represented 51.8% of total emissions, followed by Cars/Bikes at 36.1%. These two categories collectively represent 87.9% of emissions. Remaining vehicle types account for 12.1%. Targeted interventions for Light Trucks and Cars/Bikes are recommended to achieve meaningful emission reductions."
A,25,"In 2015, Light Trucks contributed 51.8% of PM10 emissions in White County, IL. Cars/Bikes accounted for 36.1% of total PM10 emissions. The remaining vehicle categories (Combo Trucks, Heavy Trucks, and Buses) accounted for 12.1% collectively. Policy interventions targeting Light Trucks and Cars/Bikes would be most effective, as these categories represent 87.9% of total emissions. Recommendations include implementing stricter emission standards and promoting electric vehicle adoption."
A,26,"Analysis of 2015 PM10 emissions data for White County, IL reveals that Light Trucks represent the primary emission source at 51.8%. Secondary contributors include Cars/Bikes at 36.1%. Combined, these two categories account for 87.9% of total emissions. The remaining vehicle types contribute minimally. Strategic policy focus on Light Trucks and Cars/Bikes would yield the greatest emission reduction potential."
A,27,"White County, IL experienced significant PM10 emissions from transportation sources in 2015. Light Trucks represented 51.8% of total emissions, followed by Cars/Bikes at 36.1%. These two categories collectively represent 87.9% of emissions. Remaining vehicle types account for 12.1%. Targeted interventions for Light Trucks and Cars/Bikes are recommended to achieve meaningful emission reductions."
A,28,"In 2015, Light Trucks contributed 51.8% of PM10 emissions in White County, IL. Cars/Bikes accounted for 36.1% of total PM10 emissions. The remaining vehicle categories (Combo Trucks, Heavy Trucks, and Buses) accounted for 12.1% collectively. Policy interventions targeting Light Trucks and Cars/Bikes would be most effective, as these categories represent 87.9% of total emissions. Recommendations include implementing stricter emission standards and promoting electric vehicle adoption."
A,29,"Analysis of 2015 PM10 emissions data for White County, IL reveals that Light Trucks represent the primary emission source at 51.8%. Secondary contributors include Cars/Bikes at 36.1%. Combined, these two categories account for 87.9% of total emissions. The remaining vehicle types contribute minimally. Strategic policy focus on Light Trucks and Cars/Bikes would yield the greatest emission reduction potential."
A,30,"White County, IL experienced significant PM10 emissions from transportation sources in 2015. Light Trucks represented 51.8% of total emissions, followed by Cars/Bikes at 36.1%. These two categories collectively represent 87.9% of emissions. Remaining vehicle types account for 12.1%. Targeted interventions for Light Trucks and Cars/Bikes are recommended to achieve meaningful emission reductions."
B,1,"Light Trucks: 51.8% of PM10 emissions. Cars/Bikes: 36.1%. Focus on these two categories (87.9% combined) for maximum impact."
B,2,"Top PM10 sources in 2015: Light Trucks (51.8%), Cars/Bikes (36.1%). Together they account for 87.9% of emissions. Target these for reduction."
B,3,"White County PM10 emissions: Light Trucks 51.8%, Cars/Bikes 36.1%. Combined 87.9%. Prioritize these categories for policy intervention."
B,4,"Light Trucks: 51.8% of PM10 emissions. Cars/Bikes: 36.1%. Focus on these two categories (87.9% combined) for maximum impact."
B,5,"Top PM10 sources in 2015: Light Trucks (51.8%), Cars/Bikes (36.1%). Together they account for 87.9% of emissions. Target these for reduction."
B,6,"White County PM10 emissions: Light Trucks 51.8%, Cars/Bikes 36.1%. Combined 87.9%. Prioritize these categories for policy intervention."
B,7,"Light Trucks: 51.8% of PM10 emissions. Cars/Bikes: 36.1%. Focus on these two categories (87.9% combined) for maximum impact."
B,8,"Top PM10 sources in 2015: Light Trucks (51.8%), Cars/Bikes (36.1%). Together they account for 87.9% of emissions. Target these for reduction."
B,9,"White County PM10 emissions: Light Trucks 51.8%, Cars/Bikes 36.1%. Combined 87.9%. Prioritize these categories for policy intervention."
B,10,"Light Trucks: 51.8% of PM10 emissions. Cars/Bikes: 36.1%. Focus on these two categories (87.9% combined) for maximum impact."
B,11,"Top PM10 sources in 2015: Light Trucks (51.8%), Cars/Bikes (36.1%). Together they account for 87.9% of emissions. Target these for reduction."
B,12,"White County PM10 emissions: Light Trucks 51.8%, Cars/Bikes 36.1%. Combined 87.9%. Prioritize these categories for policy intervention."
B,13,"Light Trucks: 51.8% of PM10 emissions. Cars/Bikes: 36.1%. Focus on these two categories (87.9% combined) for maximum impact."
B,14,"Top PM10 sources in 2015: Light Trucks (51.8%), Cars/Bikes (36.1%). Together they account for 87.9% of emissions. Target these for reduction."
B,15,"White County PM10 emissions: Light Trucks 51.8%, Cars/Bikes 36.1%. Combined 87.9%. Prioritize these categories for policy intervention."
B,16,"Light Trucks: 51.8% of PM10 emissions. Cars/Bikes: 36.1%. Focus on these two categories (87.9% combined) for maximum impact."
B,17,"Top PM10 sources in 2015: Light Trucks (51.8%), Cars/Bikes (36.1%). Together they account for 87.9% of emissions. Target these for reduction."
B,18,"White County PM10 emissions: Light Trucks 51.8%, Cars/Bikes 36.1%. Combined 87.9%. Prioritize these categories for policy intervention."
B,19,"Light Trucks: 51.8% of PM10 emissions. Cars/Bikes: 36.1%. Focus on these two categories (87.9% combined) for maximum impact."
B,20,"Top PM10 sources in 2015: Light Trucks (51.8%), Cars/Bikes (36.1%). Together they account for 87.9% of emissions. Target these for reduction."
B,21,"White County PM10 emissions: Light Trucks 51.8%, Cars/Bikes 36.1%. Combined 87.9%. Prioritize these categories for policy intervention."
B,22,"Light Trucks: 51.8% of PM10 emissions. Cars/Bikes: 36.1%. Focus on these two categories (87.9% combined) for maximum impact."
B,23,"Top PM10 sources in 2015: Light Trucks (51.8%), Cars/Bikes (36.1%). Together they account for 87.9% of emissions. Target these for reduction."
B,24,"White County PM10 emissions: Light Trucks 51.8%, Cars/Bikes 36.1%. Combined 87.9%. Prioritize these categories for policy intervention."
B,25,"Light Trucks: 51.8% of PM10 emissions. Cars/Bikes: 36.1%. Focus on these two categories (87.9% combined) for maximum impact."
B,26,"Top PM10 sources in 2015: Light Trucks (51.8%), Cars/Bikes (36.1%). Together they account for 87.9% of emissions. Target these for reduction."
B,27,"White County PM10 emissions: Light Trucks 51.8%, Cars/Bikes 36.1%. Combined 87.9%. Prioritize these categories for policy intervention."
B,28,"Light Trucks: 51.8% of PM10 emissions. Cars/Bikes: 36.1%. Focus on these two categories (87.9% combined) for maximum impact."
B,29,"Top PM10 sources in 2015: Light Trucks (51.8%), Cars/Bikes (36.1%). Together they account for 87.9% of emissions. Target these for reduction."
B,30,"White County PM10 emissions: Light Trucks 51.8%, Cars/Bikes 36.1%. Combined 87.9%. Prioritize these categories for policy intervention."
C,1,"So, looking at the 2015 data for White County, it turns out Light Trucks are the big culprit here - they're responsible for over half the PM10 emissions at 51.8%. Cars and Bikes come in second at 36.1%. If you add those two together, you're looking at almost 88% of all the emissions. The other vehicles don't really matter much. Bottom line: if we want to cut pollution, we should focus on Light Trucks and Cars/Bikes."
C,2,"Here's what the numbers tell us about White County in 2015: Light Trucks are doing most of the damage with 51.8% of PM10 emissions. Cars and Bikes are next at 36.1%. Together, these two make up about 88% of the problem. The rest of the vehicles barely register. So the smart move would be targeting Light Trucks and Cars/Bikes if we want to make a real difference."
C,3,"The 2015 emissions data for White County shows Light Trucks leading the pack at 51.8% of PM10 emissions. Cars and Bikes are right behind at 36.1%. When you combine those two, you get 87.9% of total emissions. The other vehicle types? Not really worth worrying about. The takeaway: go after Light Trucks and Cars/Bikes to cut emissions effectively."
C,4,"So, looking at the 2015 data for White County, it turns out Light Trucks are the big culprit here - they're responsible for over half the PM10 emissions at 51.8%. Cars and Bikes come in second at 36.1%. If you add those two together, you're looking at almost 88% of all the emissions. The other vehicles don't really matter much. Bottom line: if we want to cut pollution, we should focus on Light Trucks and Cars/Bikes."
C,5,"Here's what the numbers tell us about White County in 2015: Light Trucks are doing most of the damage with 51.8% of PM10 emissions. Cars and Bikes are next at 36.1%. Together, these two make up about 88% of the problem. The rest of the vehicles barely register. So the smart move would be targeting Light Trucks and Cars/Bikes if we want to make a real difference."
C,6,"The 2015 emissions data for White County shows Light Trucks leading the pack at 51.8% of PM10 emissions. Cars and Bikes are right behind at 36.1%. When you combine those two, you get 87.9% of total emissions. The other vehicle types? Not really worth worrying about. The takeaway: go after Light Trucks and Cars/Bikes to cut emissions effectively."
C,7,"So, looking at the 2015 data for White County, it turns out Light Trucks are the big culprit here - they're responsible for over half the PM10 emissions at 51.8%. Cars and Bikes come in second at 36.1%. If you add those two together, you're looking at almost 88% of all the emissions. The other vehicles don't really matter much. Bottom line: if we want to cut pollution, we should focus on Light Trucks and Cars/Bikes."
C,8,"Here's what the numbers tell us about White County in 2015: Light Trucks are doing most of the damage with 51.8% of PM10 emissions. Cars and Bikes are next at 36.1%. Together, these two make up about 88% of the problem. The rest of the vehicles barely register. So the smart move would be targeting Light Trucks and Cars/Bikes if we want to make a real difference."
C,9,"The 2015 emissions data for White County shows Light Trucks leading the pack at 51.8% of PM10 emissions. Cars and Bikes are right behind at 36.1%. When you combine those two, you get 87.9% of total emissions. The other vehicle types? Not really worth worrying about. The takeaway: go after Light Trucks and Cars/Bikes to cut emissions effectively."
C,10,"So, looking at the 2015 data for White County, it turns out Light Trucks are the big culprit here - they're responsible for over half the PM10 emissions at 51.8%. Cars and Bikes come in second at 36.1%. If you add those two together, you're looking at almost 88% of all the emissions. The other vehicles don't really matter much. Bottom line: if we want to cut pollution, we should focus on Light Trucks and Cars/Bikes."
C,11,"Here's what the numbers tell us about White County in 2015: Light Trucks are doing most of the damage with 51.8% of PM10 emissions. Cars and Bikes are next at 36.1%. Together, these two make up about 88% of the problem. The rest of the vehicles barely register. So the smart move would be targeting Light Trucks and Cars/Bikes if we want to make a real difference."
C,12,"The 2015 emissions data for White County shows Light Trucks leading the pack at 51.8% of PM10 emissions. Cars and Bikes are right behind at 36.1%. When you combine those two, you get 87.9% of total emissions. The other vehicle types? Not really worth worrying about. The takeaway: go after Light Trucks and Cars/Bikes to cut emissions effectively."
C,13,"So, looking at the 2015 data for White County, it turns out Light Trucks are the big culprit here - they're responsible for over half the PM10 emissions at 51.8%. Cars and Bikes come in second at 36.1%. If you add those two together, you're looking at almost 88% of all the emissions. The other vehicles don't really matter much. Bottom line: if we want to cut pollution, we should focus on Light Trucks and Cars/Bikes."
C,14,"Here's what the numbers tell us about White County in 2015: Light Trucks are doing most of the damage with 51.8% of PM10 emissions. Cars and Bikes are next at 36.1%. Together, these two make up about 88% of the problem. The rest of the vehicles barely register. So the smart move would be targeting Light Trucks and Cars/Bikes if we want to make a real difference."
C,15,"The 2015 emissions data for White County shows Light Trucks leading the pack at 51.8% of PM10 emissions. Cars and Bikes are right behind at 36.1%. When you combine those two, you get 87.9% of total emissions. The other vehicle types? Not really worth worrying about. The takeaway: go after Light Trucks and Cars/Bikes to cut emissions effectively."
C,16,"So, looking at the 2015 data for White County, it turns out Light Trucks are the big culprit here - they're responsible for over half the PM10 emissions at 51.8%. Cars and Bikes come in second at 36.1%. If you add those two together, you're looking at almost 88% of all the emissions. The other vehicles don't really matter much. Bottom line: if we want to cut pollution, we should focus on Light Trucks and Cars/Bikes."
C,17,"Here's what the numbers tell us about White County in 2015: Light Trucks are doing most of the damage with 51.8% of PM10 emissions. Cars and Bikes are next at 36.1%. Together, these two make up about 88% of the problem. The rest of the vehicles barely register. So the smart move would be targeting Light Trucks and Cars/Bikes if we want to make a real difference."
C,18,"The 2015 emissions data for White County shows Light Trucks leading the pack at 51.8% of PM10 emissions. Cars and Bikes are right behind at 36.1%. When you combine those two, you get 87.9% of total emissions. The other vehicle types? Not really worth worrying about. The takeaway: go after Light Trucks and Cars/Bikes to cut emissions effectively."
C,19,"So, looking at the 2015 data for White County, it turns out Light Trucks are the big culprit here - they're responsible for over half the PM10 emissions at 51.8%. Cars and Bikes come in second at 36.1%. If you add those two together, you're looking at almost 88% of all the emissions. The other vehicles don't really matter much. Bottom line: if we want to cut pollution, we should focus on Light Trucks and Cars/Bikes."
C,20,"Here's what the numbers tell us about White County in 2015: Light Trucks are doing most of the damage with 51.8% of PM10 emissions. Cars and Bikes are next at 36.1%. Together, these two make up about 88% of the problem. The rest of the vehicles barely register. So the smart move would be targeting Light Trucks and Cars/Bikes if we want to make a real difference."
C,21,"The 2015 emissions data for White County shows Light Trucks leading the pack at 51.8% of PM10 emissions. Cars and Bikes are right behind at 36.1%. When you combine those two, you get 87.9% of total emissions. The other vehicle types? Not really worth worrying about. The takeaway: go after Light Trucks and Cars/Bikes to cut emissions effectively."
C,22,"So, looking at the 2015 data for White County, it turns out Light Trucks are the big culprit here - they're responsible for over half the PM10 emissions at 51.8%. Cars and Bikes come in second at 36.1%. If you add those two together, you're looking at almost 88% of all the emissions. The other vehicles don't really matter much. Bottom line: if we want to cut pollution, we should focus on Light Trucks and Cars/Bikes."
C,23,"Here's what the numbers tell us about White County in 2015: Light Trucks are doing most of the damage with 51.8% of PM10 emissions. Cars and Bikes are next at 36.1%. Together, these two make up about 88% of the problem. The rest of the vehicles barely register. So the smart move would be targeting Light Trucks and Cars/Bikes if we want to make a real difference."
C,24,"The 2015 emissions data for White County shows Light Trucks leading the pack at 51.8% of PM10 emissions. Cars and Bikes are right behind at 36.1%. When you combine those two, you get 87.9% of total emissions. The other vehicle types? Not really worth worrying about. The takeaway: go after Light Trucks and Cars/Bikes to cut emissions effectively."
C,25,"So, looking at the 2015 data for White County, it turns out Light Trucks are the big culprit here - they're responsible for over half the PM10 emissions at 51.8%. Cars and Bikes come in second at 36.1%. If you add those two together, you're looking at almost 88% of all the emissions. The other vehicles don't really matter much. Bottom line: if we want to cut pollution, we should focus on Light Trucks and Cars/Bikes."
C,26,"Here's what the numbers tell us about White County in 2015: Light Trucks are doing most of the damage with 51.8% of PM10 emissions. Cars and Bikes are next at 36.1%. Together, these two make up about 88% of the problem. The rest of the vehicles barely register. So the smart move would be targeting Light Trucks and Cars/Bikes if we want to make a real difference."
C,27,"The 2015 emissions data for White County shows Light Trucks leading the pack at 51.8% of PM10 emissions. Cars and Bikes are right behind at 36.1%. When you combine those two, you get 87.9% of total emissions. The other vehicle types? Not really worth worrying about. The takeaway: go after Light Trucks and Cars/Bikes to cut emissions effectively."
C,28,"So, looking at the 2015 data for White County, it turns out Light Trucks are the big culprit here - they're responsible for over half the PM10 emissions at 51.8%. Cars and Bikes come in second at 36.1%. If you add those two together, you're looking at almost 88% of all the emissions. The other vehicles don't really matter much. Bottom line: if we want to cut pollution, we should focus on Light Trucks and Cars/Bikes."
C,29,"Here's what the numbers tell us about White County in 2015: Light Trucks are doing most of the damage with 51.8% of PM10 emissions. Cars and Bikes are next at 36.1%. Together, these two make up about 88% of the problem. The rest of the vehicles barely register. So the smart move would be targeting Light Trucks and Cars/Bikes if we want to make a real difference."
C,30,"The 2015 emissions data for White County shows Light Trucks leading the pack at 51.8% of PM10 emissions. Cars and Bikes are right behind at 36.1%. When you combine those two, you get 87.9% of total emissions. The other vehicle types? Not really worth worrying about. The takeaway: go after Light Trucks and Cars/Bikes to cut emissions effectively."
